Loading configuration...
=== INITIAL DATA ===
Start X: 424265 m
Start Y: 424265 m
Simulation timestep: 1 s
Rocket stages count: 3

=== SIMULATION ===
--> Starting new stage
t = 0 min ; V ~ 1.41e-30 m/s ; ax ~ 2e+01 ; ay ~ -0.8
t = 1 min ; V ~ 1.1e+03 m/s ; ax ~ 2e+01 ; ay ~ 0.2
t = 2 min ; V ~ 2.31e+03 m/s ; ax ~ 2e+01 ; ay ~ 2e+00
--> Starting new stage
t = 3 min ; V ~ 3.6e+03 m/s ; ax ~ 2e+01 ; ay ~ 4e+00
--> Starting new stage
t = 4 min ; V ~ 4.41e+03 m/s ; ax ~ 1e+01 ; ay ~ 3e+00
t = 5 min ; V ~ 5.32e+03 m/s ; ax ~ -2e+00 ; ay ~ -0.7
t = 6 min ; V ~ 5.23e+03 m/s ; ax ~ -1e+00 ; ay ~ -0.4
t = 7 min ; V ~ 5.17e+03 m/s ; ax ~ -0.9 ; ay ~ -0.2
t = 8 min ; V ~ 5.12e+03 m/s ; ax ~ -0.7 ; ay ~ -0.2
t = 9 min ; V ~ 5.08e+03 m/s ; ax ~ -0.5 ; ay ~ -0.1
t = 10 min ; V ~ 5.05e+03 m/s ; ax ~ -0.4 ; ay ~ -0.09
t = 11 min ; V ~ 5.03e+03 m/s ; ax ~ -0.3 ; ay ~ -0.07
t = 12 min ; V ~ 5.01e+03 m/s ; ax ~ -0.3 ; ay ~ -0.05
t = 13 min ; V ~ 5e+03 m/s ; ax ~ -0.2 ; ay ~ -0.04
t = 14 min ; V ~ 4.98e+03 m/s ; ax ~ -0.2 ; ay ~ -0.04
t = 15 min ; V ~ 4.97e+03 m/s ; ax ~ -0.2 ; ay ~ -0.03
t = 16 min ; V ~ 4.96e+03 m/s ; ax ~ -0.2 ; ay ~ -0.03
t = 17 min ; V ~ 4.95e+03 m/s ; ax ~ -0.1 ; ay ~ -0.02
t = 18 min ; V ~ 4.94e+03 m/s ; ax ~ -0.1 ; ay ~ -0.02
t = 19 min ; V ~ 4.93e+03 m/s ; ax ~ -0.1 ; ay ~ -0.02
t = 20 min ; V ~ 4.93e+03 m/s ; ax ~ -0.1 ; ay ~ -0.01
t = 21 min ; V ~ 3.82e+03 m/s ; ax ~ -2e+01 ; ay ~ -4e+00
t = 22 min ; V ~ 2.7e+03 m/s ; ax ~ -2e+01 ; ay ~ -4e+00
t = 23 min ; V ~ 1.63e+03 m/s ; ax ~ -2e+01 ; ay ~ -4e+00
t = 24 min ; V ~ 7.85e+02 m/s ; ax ~ -2e+01 ; ay ~ -4e+00
t = 25 min ; V ~ 8.51e+02 m/s ; ax ~ -0.09 ; ay ~ -0.01
t = 26 min ; V ~ 8.54e+02 m/s ; ax ~ -0.09 ; ay ~ -0.009
t = 27 min ; V ~ 8.56e+02 m/s ; ax ~ -0.09 ; ay ~ -0.009
t = 28 min ; V ~ 8.58e+02 m/s ; ax ~ -0.09 ; ay ~ -0.008
t = 29 min ; V ~ 8.61e+02 m/s ; ax ~ -0.09 ; ay ~ -0.008
